,loss
166,75.74101257324219
167,73.67742919921875
168,71.64873504638672
169,69.74185943603516
170,67.9216537475586
171,66.21272277832031
172,64.56523895263672
173,62.91065979003906
174,61.38229751586914
175,59.94102478027344
176,58.56599807739258
177,57.19818878173828
178,55.89765167236328
179,54.59908676147461
180,53.33699035644531
181,52.13582229614258
182,50.995845794677734
183,49.85923767089844
184,48.747314453125
185,47.68148422241211
186,46.648826599121094
187,45.64507293701172
188,44.68490219116211
189,43.75193405151367
190,42.85771179199219
191,41.980342864990234
192,41.11357879638672
193,40.25735092163086
194,39.43143081665039
195,38.637332916259766
196,37.892581939697266
197,37.15339660644531
198,36.41273498535156
199,35.69950485229492
200,34.99687576293945
201,34.3141975402832
202,33.66456604003906
203,33.04241943359375
204,32.40506362915039
205,31.79313850402832
206,31.155569076538086
207,30.555599212646484
208,29.976564407348633
209,29.4210147857666
210,28.8664608001709
211,28.337909698486328
212,27.798320770263672
213,27.270496368408203
214,26.772388458251953
215,26.26288414001465
216,25.782039642333984
217,25.311351776123047
218,24.864967346191406
219,24.42200469970703
220,23.9830265045166
221,23.537992477416992
222,23.100736618041992
223,22.675859451293945
224,22.27277374267578
225,21.852102279663086
226,21.455596923828125
227,21.071081161499023
228,20.706798553466797
229,20.321880340576172
230,19.957910537719727
231,19.603103637695312
232,19.241064071655273
233,18.881582260131836
234,18.549335479736328
235,18.2393856048584
236,17.915630340576172
237,17.614912033081055
238,17.30233383178711
239,17.011186599731445
240,16.690570831298828
241,16.396772384643555
242,16.083147048950195
243,15.80327033996582
244,15.511833190917969
245,15.235276222229004
246,14.965092658996582
247,14.69674301147461
248,14.428929328918457
249,14.18159008026123
250,13.929759979248047
251,13.679490089416504
252,13.420710563659668
253,13.182999610900879
254,12.968053817749023
255,12.717742919921875
256,12.516027450561523
257,12.288567543029785
258,12.058915138244629
259,11.853019714355469
260,11.62453556060791
261,11.43097972869873
262,11.206125259399414
263,10.994058609008789
264,10.810446739196777
265,10.613515853881836
266,10.407801628112793
267,10.222309112548828
268,10.025677680969238
269,9.838164329528809
270,9.670270919799805
271,9.501086235046387
272,9.329368591308594
273,9.170045852661133
274,8.991535186767578
275,8.821511268615723
276,8.661484718322754
277,8.51319408416748
278,8.360424041748047
279,8.221061706542969
280,8.063261032104492
281,7.922022819519043
282,7.775392532348633
283,7.6412811279296875
284,7.473568439483643
285,7.328209400177002
286,7.197138786315918
287,7.07223653793335
288,6.933891773223877
289,6.803706645965576
290,6.674379825592041
291,6.55832052230835
292,6.436796188354492
293,6.317309856414795
294,6.194042682647705
295,6.066403388977051
296,5.964178085327148
297,5.831974029541016
298,5.710630416870117
299,5.611425399780273
300,5.491738319396973
301,5.379207611083984
302,5.2723917961120605
303,5.1851091384887695
304,5.088265895843506
305,4.975033760070801
306,4.876198768615723
307,4.777369022369385
308,4.697214603424072
309,4.5941972732543945
310,4.5010857582092285
311,4.40700626373291
312,4.325394630432129
313,4.23185396194458
314,4.1538519859313965
315,4.0646891593933105
316,3.9825618267059326
317,3.883389949798584
318,3.8177430629730225
319,3.7340660095214844
320,3.644587993621826
321,3.56483793258667
322,3.4964609146118164
323,3.4067604541778564
324,3.3446288108825684
325,3.2620038986206055
326,3.218219757080078
327,3.1188199520111084
328,3.047370672225952
329,2.984663724899292
330,2.9087917804718018
331,2.851388454437256
332,2.790384531021118
333,2.71588397026062
334,2.6597988605499268
335,2.6036264896392822
336,2.5488314628601074
337,2.4995107650756836
338,2.4166784286499023
339,2.352360248565674
340,2.2998743057250977
341,2.2407426834106445
342,2.1946659088134766
343,2.128113031387329
344,2.071784019470215
345,2.042586326599121
346,1.9839564561843872
347,1.9175647497177124
348,1.8589941263198853
349,1.8200550079345703
350,1.7819173336029053
351,1.7337957620620728
352,1.6833853721618652
353,1.6426194906234741
354,1.610009789466858
355,1.5548486709594727
356,1.5237315893173218
357,1.4649169445037842
358,1.4260505437850952
359,1.3797343969345093
360,1.349906325340271
361,1.3096086978912354
362,1.2754266262054443
363,1.2247462272644043
364,1.1843277215957642
365,1.152588963508606
366,1.1145864725112915
367,1.0856014490127563
368,1.0617376565933228
369,1.0119282007217407
370,0.9769624471664429
371,0.9421451687812805
372,0.9141196012496948
373,0.8750208020210266
374,0.8422778844833374
375,0.815561830997467
376,0.782532811164856
377,0.7577059268951416
378,0.7211523652076721
379,0.6926000714302063
380,0.672122597694397
381,0.6461314558982849
382,0.6168683767318726
383,0.592330276966095
384,0.5776012539863586
385,0.5466593503952026
386,0.5327039957046509
387,0.5027891993522644
388,0.45185184478759766
389,0.443237841129303
390,0.42635807394981384
391,0.38965165615081787
392,0.3808377683162689
393,0.3513893187046051
394,0.3255999684333801
395,0.30660203099250793
396,0.30214986205101013
397,0.2610575556755066
398,0.2438763976097107
399,0.22341963648796082
400,0.19111672043800354
401,0.18904313445091248
402,0.15527622401714325
403,0.1582995057106018
404,0.11986546963453293
