,loss
0,569319.3125
1,542672.875
2,517093.09375
3,492550.375
4,469012.71875
5,446449.4375
6,424829.4375
7,404122.125
8,384298.125
9,365327.8125
10,347182.03125
11,329832.75
12,313251.34375
13,297410.96875
14,282284.625
15,267846.0625
16,254069.734375
17,240930.4375
18,228403.78125
19,216465.625
20,205093.265625
21,194263.859375
22,183955.453125
23,174146.515625
24,164816.390625
25,155945.015625
26,147512.828125
27,139501.0
28,131891.234375
29,124665.703125
30,117807.5859375
31,111300.3515625
32,105127.9375
33,99275.125
34,93727.015625
35,88469.5078125
36,83488.84375
37,78771.8515625
38,74305.9921875
39,70079.046875
40,66079.390625
41,62295.88671875
42,58717.79296875
43,55334.90625
44,52137.40625
45,49115.8671875
46,46261.3828125
47,43565.34765625
48,41019.61328125
49,38616.33984375
50,36348.109375
51,34207.78515625
52,32188.591796875
53,30284.111328125
54,28488.232421875
55,26795.029296875
56,25198.99609375
57,23694.84375
58,22277.5546875
59,20942.361328125
60,19684.744140625
61,18500.396484375
62,17385.251953125
63,16335.4560546875
64,15347.337890625
65,14417.40234375
66,13542.3779296875
67,12719.1396484375
68,11944.7490234375
69,11216.4208984375
70,10531.4755859375
71,9887.4169921875
72,9281.9111328125
73,8712.72265625
74,8177.76318359375
75,7675.0087890625
76,7202.5634765625
77,6758.63134765625
78,6341.56103515625
79,5949.78466796875
80,5581.7734375
81,5236.142578125
82,4911.57470703125
83,4606.82568359375
84,4320.71142578125
85,4052.119384765625
86,3799.965576171875
87,3563.334228515625
88,3341.28173828125
89,3132.93896484375
90,2937.440673828125
91,2753.996337890625
92,2581.850341796875
93,2420.369140625
94,2268.8779296875
95,2126.781494140625
96,1993.4703369140625
97,1868.41796875
98,1751.1534423828125
99,1641.21630859375
100,1538.106689453125
101,1441.430419921875
102,1350.7891845703125
103,1265.90966796875
104,1186.392822265625
105,1111.9012451171875
106,1042.1588134765625
107,976.9324340820312
108,915.7694091796875
109,858.3692626953125
110,804.65185546875
111,754.3935546875
112,707.4087524414062
113,663.3859252929688
114,622.1209106445312
115,583.585205078125
116,547.6552734375
117,514.0750732421875
118,482.8479309082031
119,453.6007080078125
120,426.1352844238281
121,400.4361572265625
122,376.5672607421875
123,354.29248046875
124,333.4776611328125
125,313.9732360839844
126,296.06854248046875
127,279.37237548828125
128,263.86669921875
129,249.44305419921875
130,236.0540008544922
131,223.6941680908203
132,212.14341735839844
133,201.56265258789062
134,191.5054473876953
135,182.29151916503906
136,173.70811462402344
137,165.62779235839844
138,158.10421752929688
139,151.07041931152344
140,144.5073699951172
141,138.3385772705078
142,132.59149169921875
143,127.17053985595703
144,122.17400360107422
145,117.35082244873047
146,112.7430419921875
147,108.53630065917969
148,104.59381866455078
149,101.04501342773438
150,97.67274475097656
151,94.45000457763672
152,91.31324768066406
153,88.44674682617188
154,85.8153076171875
155,83.2789077758789
156,80.86205291748047
157,78.50587463378906
158,76.24343872070312
159,74.038330078125
160,72.02983093261719
161,70.1034164428711
162,68.28129577636719
163,66.50891876220703
164,64.76466369628906
165,63.10866165161133
166,61.527156829833984
167,59.99483108520508
168,58.57374954223633
169,57.21034622192383
170,55.85106658935547
171,54.52533721923828
172,53.28231430053711
173,52.067955017089844
174,50.86786651611328
175,49.71181106567383
176,48.580909729003906
177,47.484073638916016
178,46.44187545776367
179,45.4495849609375
180,44.4574089050293
181,43.51233673095703
182,42.557579040527344
183,41.614173889160156
184,40.74299240112305
185,39.88458251953125
186,39.07126235961914
187,38.2784423828125
188,37.48467254638672
189,36.72909927368164
190,36.013458251953125
191,35.31183624267578
192,34.62766647338867
193,33.96305847167969
194,33.31240463256836
195,32.68326950073242
196,32.06143569946289
197,31.44324493408203
198,30.824951171875
199,30.227407455444336
200,29.656652450561523
201,29.10001564025879
202,28.54914093017578
203,28.001684188842773
204,27.460681915283203
205,26.96026039123535
206,26.442411422729492
207,25.949974060058594
208,25.465084075927734
209,24.968873977661133
210,24.50123405456543
211,24.066415786743164
212,23.62601089477539
213,23.199310302734375
214,22.778112411499023
215,22.37529945373535
216,21.970823287963867
217,21.581632614135742
218,21.18899917602539
219,20.810264587402344
220,20.43022346496582
221,20.04424285888672
222,19.66856575012207
223,19.31514549255371
224,18.96471405029297
225,18.63214874267578
226,18.276874542236328
227,17.955720901489258
228,17.632469177246094
229,17.30967903137207
230,17.00247573852539
231,16.706462860107422
232,16.409908294677734
233,16.111452102661133
234,15.816191673278809
235,15.529557228088379
236,15.24682331085205
237,14.979425430297852
238,14.697319984436035
239,14.432045936584473
240,14.164568901062012
241,13.907086372375488
242,13.670614242553711
243,13.417717933654785
244,13.182311058044434
245,12.949658393859863
246,12.729223251342773
247,12.494437217712402
248,12.266599655151367
249,12.04754638671875
250,11.823081970214844
251,11.610458374023438
252,11.397233009338379
253,11.193609237670898
254,10.98690414428711
255,10.786720275878906
256,10.574894905090332
257,10.419426918029785
258,10.2095308303833
259,10.041112899780273
260,9.864678382873535
261,9.676227569580078
262,9.503945350646973
263,9.31350040435791
264,9.136761665344238
265,8.973898887634277
266,8.794588088989258
267,8.635332107543945
268,8.470297813415527
269,8.300278663635254
270,8.1542329788208
271,7.9874162673950195
272,7.847989082336426
273,7.690438747406006
274,7.529214382171631
275,7.402980804443359
276,7.2518229484558105
277,7.118869304656982
278,6.978742599487305
279,6.836182117462158
280,6.706449031829834
281,6.576578140258789
282,6.446309566497803
283,6.313953399658203
284,6.188154220581055
285,6.061972618103027
286,5.944538593292236
287,5.824270725250244
288,5.7207183837890625
289,5.587368011474609
290,5.472509860992432
291,5.3651204109191895
292,5.26244592666626
293,5.1360554695129395
294,5.045154571533203
295,4.945931434631348
296,4.835448741912842
297,4.729899883270264
298,4.621835708618164
299,4.537062168121338
300,4.445737838745117
301,4.34104585647583
302,4.243534564971924
303,4.16950798034668
304,4.0769944190979
305,3.9948856830596924
306,3.913888454437256
307,3.8121728897094727
308,3.731112480163574
309,3.662644147872925
310,3.5783016681671143
311,3.492929458618164
312,3.4244093894958496
313,3.3481757640838623
314,3.2664077281951904
315,3.1898865699768066
316,3.1135475635528564
317,3.0478832721710205
318,2.9700875282287598
319,2.8949368000030518
320,2.841360092163086
321,2.766404151916504
322,2.6995067596435547
323,2.6150615215301514
324,2.5716636180877686
325,2.489851951599121
326,2.4423766136169434
327,2.375683069229126
328,2.317659616470337
329,2.2741987705230713
330,2.214338779449463
331,2.150930404663086
332,2.096059560775757
333,2.0378527641296387
334,1.970839262008667
335,1.9262611865997314
336,1.8764573335647583
337,1.8344922065734863
338,1.7717357873916626
339,1.7358603477478027
340,1.6704949140548706
341,1.6256847381591797
342,1.5944606065750122
343,1.5366605520248413
344,1.4856066703796387
345,1.4520444869995117
346,1.402819037437439
347,1.3675885200500488
348,1.3314220905303955
349,1.2670302391052246
350,1.237960696220398
351,1.1902024745941162
352,1.1536805629730225
353,1.1140315532684326
354,1.0840210914611816
355,1.0418206453323364
356,1.0033303499221802
357,0.987062394618988
358,0.9317554831504822
359,0.9177398681640625
360,0.8587490320205688
361,0.8278428316116333
362,0.793391764163971
363,0.7792069315910339
364,0.7438757419586182
365,0.7050108909606934
366,0.688155472278595
367,0.65631103515625
368,0.6136208176612854
369,0.581699788570404
370,0.5622540712356567
371,0.5284964442253113
372,0.4949375092983246
373,0.47057273983955383
374,0.4491690993309021
375,0.4293302893638611
376,0.39884617924690247
377,0.3738293945789337
378,0.35697415471076965
379,0.3279803991317749
380,0.295093297958374
381,0.2814198136329651
382,0.25855574011802673
383,0.2234182506799698
384,0.2256726771593094
385,0.20200088620185852
386,0.18107864260673523
387,0.14961962401866913
388,0.12294299155473709
389,0.12073267251253128
390,0.10035131871700287
391,0.08098167926073074
392,0.06257916986942291
393,0.041825518012046814
394,0.028799155727028847
395,0.005495240446180105
396,-0.0041840337216854095
397,-0.010784899815917015
398,-0.04047941043972969
399,-0.058839187026023865
400,-0.07949041575193405
401,-0.09571296721696854
402,-0.09359030425548553
403,-0.10809699445962906
404,-0.13203193247318268
405,-0.14065401256084442
406,-0.15539409220218658
407,-0.15327981114387512
408,-0.18864357471466064
409,-0.1977916657924652
410,-0.20770922303199768
411,-0.2248261421918869
412,-0.23411431908607483
413,-0.25248152017593384
414,-0.2527781128883362
415,-0.2627567648887634
416,-0.2713707685470581
417,-0.28648367524147034
418,-0.2914922535419464
419,-0.30969950556755066
420,-0.3214047849178314
421,-0.3295222520828247
422,-0.3469681739807129
423,-0.35262301564216614
424,-0.359345942735672
425,-0.3688994348049164
426,-0.38242435455322266
427,-0.38867050409317017
428,-0.39012178778648376
429,-0.3964349329471588
430,-0.4069346785545349
431,-0.4227014183998108
432,-0.4231756031513214
433,-0.424238920211792
434,-0.44236817955970764
435,-0.4326792061328888
436,-0.44724470376968384
437,-0.46693292260169983
438,-0.458834707736969
439,-0.46916353702545166
440,-0.46971508860588074
441,-0.4817241132259369
442,-0.484991192817688
443,-0.49607419967651367
444,-0.48437970876693726
445,-0.5008807182312012
446,-0.5156833529472351
447,-0.5177676677703857
448,-0.5001839995384216
449,-0.5248693823814392
450,-0.524874210357666
451,-0.5339627265930176
452,-0.5255338549613953
453,-0.5343559980392456
454,-0.5210812091827393
455,-0.5506048798561096
456,-0.5527934432029724
457,-0.5514855980873108
458,-0.5629822611808777
459,-0.5614347457885742
460,-0.5693302154541016
461,-0.569847047328949
462,-0.5745740532875061
463,-0.5747760534286499
464,-0.5731645822525024
465,-0.5823595523834229
466,-0.5922195911407471
467,-0.5848649740219116
468,-0.5842866897583008
469,-0.6020216345787048
470,-0.6060267090797424
471,-0.5943185091018677
472,-0.6040600538253784
473,-0.5963139533996582
474,-0.6014745831489563
475,-0.6157676577568054
476,-0.6227973103523254
477,-0.6145240664482117
478,-0.618019700050354
479,-0.6132882237434387
480,-0.6227656602859497
481,-0.6136783957481384
482,-0.6156041026115417
483,-0.624656617641449
484,-0.6268211603164673
485,-0.6381195187568665
486,-0.6297013759613037
487,-0.6081956028938293
488,-0.6170368194580078
489,-0.6335678696632385
490,-0.6301319003105164
491,-0.6316882967948914
492,-0.6483601927757263
493,-0.6320511102676392
494,-0.619702160358429
495,-0.6470731496810913
496,-0.6424692273139954
497,-0.6549739837646484
498,-0.6414867639541626
499,-0.6465669274330139
500,-0.6460092663764954
501,-0.6439106464385986
502,-0.6539287567138672
503,-0.6506898999214172
504,-0.6483927369117737
505,-0.6688959002494812
506,-0.6475957036018372
507,-0.6498306393623352
508,-0.6596719622612
509,-0.6504062414169312
510,-0.6648746728897095
511,-0.6523599028587341
512,-0.6518504619598389
513,-0.6683840751647949
514,-0.670020580291748
515,-0.658237874507904
516,-0.6727486252784729
517,-0.6677337288856506
518,-0.6729053258895874
519,-0.6678447723388672
520,-0.6858108043670654
521,-0.6663457155227661
522,-0.667607307434082
523,-0.6764159202575684
524,-0.6814896464347839
525,-0.6823500394821167
526,-0.6789735555648804
527,-0.6805347800254822
528,-0.6691307425498962
529,-0.6813383102416992
530,-0.6636476516723633
531,-0.6858444213867188
532,-0.6821115016937256
533,-0.6826791763305664
534,-0.6807711720466614
535,-0.6731948256492615
536,-0.6908499002456665
537,-0.6758021712303162
538,-0.6908819675445557
539,-0.6740611791610718
540,-0.7009287476539612
541,-0.6922225952148438
542,-0.6767863631248474
543,-0.6931781768798828
544,-0.6959666609764099
545,-0.6986388564109802
546,-0.6948392391204834
547,-0.6908589005470276
548,-0.6935127973556519
549,-0.6847184896469116
550,-0.6802818179130554
551,-0.6940866708755493
552,-0.6892247200012207
553,-0.7049697637557983
554,-0.682079553604126
555,-0.6989208459854126
556,-0.7055736184120178
557,-0.701686441898346
558,-0.6903480887413025
559,-0.7186406850814819
560,-0.7157958149909973
561,-0.6909797787666321
562,-0.7069427967071533
563,-0.6946290135383606
564,-0.6989176273345947
565,-0.7034232020378113
566,-0.688911497592926
567,-0.7203710675239563
568,-0.6994128823280334
569,-0.7018023133277893
570,-0.6880723834037781
571,-0.6978633403778076
572,-0.7072629332542419
573,-0.7160924077033997
574,-0.6978068947792053
575,-0.6835145950317383
576,-0.7200740575790405
577,-0.7146656513214111
578,-0.7067162394523621
579,-0.7035183310508728
580,-0.7040727138519287
581,-0.7109401226043701
582,-0.7230477929115295
583,-0.7136048674583435
584,-0.7182632684707642
585,-0.7141328454017639
586,-0.7043190598487854
587,-0.7144359350204468
588,-0.721936047077179
589,-0.7392864227294922
590,-0.7160833477973938
591,-0.721939206123352
592,-0.7096880078315735
593,-0.7052863240242004
594,-0.7222248315811157
595,-0.7242920994758606
596,-0.727247416973114
597,-0.7121717929840088
598,-0.7051784992218018
599,-0.7119247317314148
